название;вес_шоколадки
Полёт;700
Полёт;81
Полёт;7
Полёт;74
Полёт;71
Полёт;70
Полёт;68
Полёт;76
Полёт;70
Полёт;73
Полёт;65
Полёт;75
Полёт;73
Полёт;70
Полёт;67
Полёт;59
Полёт;63
Полёт;68
Полёт;65
Полёт;65
Полёт;81
Полёт;69
Полёт;64
Полёт;57
Полёт;58
Полёт;68
Полёт;70
Полёт;71
Полёт;71
Полёт;71
Полёт;65
Полёт;72
Полёт;69
Полёт;68
Полёт;62
Полёт;71
Полёт;74
Полёт;74
Полёт;70
Полёт;67
Полёт;86
Полёт;73
Полёт;71
Полёт;77
Полёт;70
Полёт;65
Полёт;70
Полёт;66
Полёт;75
Полёт;66
Полёт;74
Полёт;75
Полёт;74
Полёт;77
Полёт;71
Полёт;69
Полёт;67
Полёт;67
Полёт;75
Полёт;60
Полёт;68
Полёт;63
Полёт;82
Полёт;62
Полёт;58
Полёт;71
Полёт;67
Полёт;67
Полёт;71
Полёт;72
Полёт;75
Полёт;73
Полёт;70
Полёт;66
Полёт;73
Полёт;70
Полёт;69
Полёт;71
Полёт;73
Полёт;64
Полёт;71
Полёт;69
Полёт;73
Полёт;81
Полёт;71
Полёт;68
Полёт;65
Полёт;66
Полёт;69
Полёт;74
Полёт;70
Полёт;72
Полёт;73
Полёт;68
Полёт;65
Полёт;82
Полёт;70
Полёт;62
Полёт;73
Полёт;70
космос;70
космос;86
космос;81
космос;89
космос;86
космос;85
космос;83
космос;91
космос;90
космос;88
космос;80
космос;90
космос;88
космос;85
космос;82
космос;74
космос;78
космос;83
космос;80
космос;80
космос;96
космос;84
космос;79
космос;72
космос;73
космос;83
космос;85
космос;86
космос;86
космос;86
космос;80
космос;87
космос;84
космос;83
космос;77
космос;86
космос;89
космос;89
космос;85
космос;82
космос;91
космос;88
космос;94
космос;92
космос;85
космос;80
космос;85
космос;81
космос;90
космос;81
космос;89
космос;90
космос;99
космос;102
космос;86
космос;84
космос;82
космос;82
космос;90
космос;75
космос;83
космос;78
космос;87
космос;77
космос;73
космос;92
космос;82
космос;82
космос;86
космос;87
космос;90
космос;88
космос;85
космос;81
космос;88
космос;85
космос;84
космос;93
космос;88
космос;79
